Rank,username,Name,Category,Subscribers,Audience Country,Avg. Views,Avg. Likes
115,Jingle Toons,Jingle Toons,Other,28200000,India,428100,3000
116,WWRBhojpuri,Worldwide Records Bhojpuri,Music & Dance,28200000,India,55100,1500
117,toyoraljanahtv,قناة طيور الجنة | toyoraljanahtv,Music & Dance,27900000,Other,95600,0
118,theofficialpeppa,Peppa Pig - Official Channel,Toys,27900000,Other,974400,4500
119,TheLateLateShow,The Late Late Show with James Corden,AnimationHumor,27900000,United States,88600,2000
120,TalkingTomCat,Talking Tom,Other,27900000,United States,174000,3000
121,MrBeast Gaming,MrBeast Gaming,AnimationVideo games,27900000,United States,7300000,320600
122,Wow Kidz,Wow Kidz,AnimationHumor,27700000,Other,56800,549
123,Techno Gamerz,Techno Gamerz,Other,27600000,India,7100000,407400
124,PowerKids,PowerKids,MoviesAnimation,27500000,India,184600,0
125,Little Angel: Nursery Rhymes & Kids Songs,Little Angel: Nursery Rhymes & Kids Songs,Toys,27500000,Other,867500,3600
126,GMANETWORK,GMANetwork,Other,27300000,Philippines,8300,134
127,Karolgmusic,KAROL G,Music & Dance,27200000,Colombia,129400,12400
128,TheDonato,TheDonato,Other,27100000,Mexico,324700,36100
129,infobellstamil,infobells - Tamil,Education,26900000,Other,843000,3700
130,DrakeOfficial,Drake,Music & Dance,26700000,United States,1900000,33700
131,toypudding,ToypuddingTV,Other,26700000,India,21800,651
132,zeenews,Zee News,News & Politics,26400000,India,24900,537
133,MR. INDIAN HACKER,MR. INDIAN HACKER,Other,26400000,India,3400000,378900
134,taylorgangent,Wiz Khalifa,Music & Dance,26400000,United States,184400,14600
135,Bounce Patrol - Kids Songs,Bounce Patrol - Kids Songs,Music & Dance,26200000,Other,202400,1100
136,enchufetv,enchufetv,Other,26200000,Ecuador,776900,56300
137,infobellstelugu,infobells - Telugu,Education,26200000,Other,1100000,6500
138,TheDiamondMinecart,DanTDM,Video games,26200000,United States,1300000,63300
139,Genevieve's Playhouse - Learning Videos for Kids,Genevieve's Playhouse - Learning Videos for Kids,Toys,26200000,Other,432200,744
140,AboFlah,AboFlah,AnimationVideo games,26000000,Iraq,4300000,623800
141,WorldStarHipHopTV,WORLDSTARHIPHOP,Music & Dance,26000000,United States,51500,1700
142,adityamusic,Aditya Music,Music & Dance,25800000,India,36200,1200
143,Vlad và Nikita,Vlad và Nikita,MoviesHumor,25800000,Other,2800000,13700
144,Diana and Roma ESP,Diana and Roma ESP,Animation,25800000,Other,1700000,7100
145,VanossGaming,VanossGaming,AnimationVideo games,25800000,United States,1400000,59000
146,toycantando,toycantando,Music & DanceAnimation,25600000,Other,135700,621
147,व्लाद और निकिता,व्लाद और निकिता,Other,25600000,Other,818100,4700
148,LosPolinesios,LosPolinesios,Music & DanceMovies,25600000,Mexico,1600000,66500
149,1MILLION Dance Studio,1MILLION Dance Studio,Other,25400000,India,61100,3300
150,xSkyHeLLxx,Renato Garcia,MoviesAnimation,25400000,Brazil,998900,113700
151,TwiNboTzVids,Lucas and Marcus,AnimationHumor,25100000,United States,936000,28200
152,smosh,Smosh,MoviesHumor,25000000,United States,249500,17300
153,jypentertainment,JYP Entertainment,Music & Dance,25000000,United States,1800000,218500
154,nickelodeonjuniorfr,Nick Jr.,AnimationToys,25000000,Other,87400,285
155,beyonce,Beyoncé,Music & Dance,24800000,United States,15400000,561700
156,Jess No Limit,Jess No Limit,MoviesAnimation,24800000,Indonesia,329100,15100
157,WatchMojo,WatchMojo.com,Movies,24600000,United States,65200,2100
158,Las Ratitas,Las Ratitas,Other,24600000,Other,0,0
